Row Labels,Average of lat,Average of lon,Sum of Valuation,Sum of Fee Amount,Size
406 Hillsboro Pkwy,-76.08800017,43.04022425,1000,40,2
407 Howard St,-76.14086304,43.05445843,1000,40,2
408 Carbon St,-76.14806277,43.06605004,1000,40,2
409 Coughlin Ave & Ashdale Av,-76.10881051,43.07358965,1000,40,2
410 Pleasantview Ave,-76.13451344,43.07732673,1000,40,2
411 Myrtle Ave,-76.19496617,43.04794145,1000,56,2
412 Division St E,-76.15144121,43.0610294,1000,52,2
413 Hixson Ave,-76.12009871,43.06238565,1000,54,2
413-15 Erie St,-76.19540052,43.05057442,1000,40,2
414-16 Roberts Ave,-76.17256239,43.02852624,1000,40,2
415 Hillsboro Pkwy,-76.08733924,43.04088838,1000,40,2
415 Seymour St,-76.164955,43.041983,1000,40,2
418 Wolcott Ave & Atkinson Av,-76.18341721,43.02823916,1000,40,2
421 Rich St,-76.16116192,43.03104099,1000,40,2
426-28 Whittier Ave,-76.18604318,43.04406892,1000,40,2
428 Ridgewood Dr,-76.09476892,43.06365861,1000,40,2
428 Stolp Ave & Roberts Ave,-76.1720767,43.03039251,1000,40,2
429 Elliott St,-76.17713997,43.03467238,1000,66,2
432 Brattle Rd,-76.12854528,43.06938788,1000,40,2
432 Burns Ave,-76.09217716,43.06185355,1000,54,2
433 Wilkinson St,-76.168891,43.050714,1000,40,2
456 Westcott St,-76.1201359,43.04228151,1000,40,2
456 Woodbine Ave,-76.1099967,43.05990462,1000,40,2
465 Stafford Ave,-76.11188331,43.05959583,1000,52,2
4712-14 Salina St S,-76.14350153,43.00149403,1000,81,2
5 Robincroft Rd,-76.12949551,43.05865948,1000,40,2
501 Robineau Rd & Glenwood Av,-76.17069863,43.01934743,1000,40,2
502 Crawford Ave,-76.10948675,43.03627497,1000,40,2
506 Oswego St,-76.16463067,43.04268959,1000,105,2
506 Ulster St,-76.18762003,43.04785144,1000,40,2
507-09 Pond St To Park St,-76.15214684,43.06645843,1000,50,2
508-10 Columbus Ave,-76.12138955,43.04350382,1000,40,2
511 Carbon St,-76.14932448,43.06596998,1000,54,2
511 Hillsdale Ave,-76.10798591,43.0588104,1000,54,2
511 Marcellus St,-76.16623143,43.04563993,1000,40,2
512 Seeley Rd,-76.10437787,43.04890191,1000,40,2
512-14 Delaware St,-76.17000308,43.03780296,1000,40,2
514 Helen St,-76.13536564,43.06907787,1000,65,2
517 Burnet Ave,-76.13843678,43.05244213,1000,40,2
517 Glenwood Ave,-76.16893845,43.01947889,1000,40,2
517 Salina St N,-76.15269876,43.0580322,1000,105,2
519 Valley Dr,-76.15808076,43.01257467,1000,40,2
520 Hickok Ave,-76.11393044,43.05800054,1000,52,2
521 Kensington Rd & Roosevelt,-76.117952,43.03199804,1000,65,2
521 Stinard Ave,-76.17375895,43.02835402,1000,40,2
525 Seymour St,-76.16915461,43.04170614,1000,40,2
528 Collingwood Ave S,-76.10741211,43.05844201,1000,40,2
533 Bryant Ave,-76.18854347,43.04347583,1000,54,2
541 Allen St,-76.11666329,43.04220216,1000,40,2
543 Tennyson Ave,-76.18869561,43.04428299,1000,40,2
546-48 Burnet Ave & Crouse Ave N,-76.1369676,43.05190534,1000,69,2
549 Seymour St,-76.1709152,43.0416235,1000,40,2
552-54 Hickok Ave,-76.11385004,43.05711076,1000,75,2
553 Wilbur Ave S,-76.17622042,43.0447572,1000,52,2
566 Oakwood Ave,-76.1452512,43.03186196,1000,40,2
5707 Salina St S,-76.14404964,42.98781418,1000,40,2
600 State St S & Madison St &,-76.14851513,43.04587668,1000,114,2
600-02 Audubon Pkwy & Fayette Bl,-76.09568014,43.04901213,1000,40,2
601 Carbon St & Pond St,-76.15144983,43.06684864,1000,40,2
602 Hickory St,-76.14555327,43.05593081,1000,54,2
609 Demong Dr,-76.08695469,43.04407982,1000,40,2
610 Schuyler St,-76.19087834,43.04802764,1000,40,2
611 Avery Ave,-76.19452508,43.0509321,1000,40,2
611 Mertens Ave,-76.13309802,43.07164651,1000,40,2
612 Park St,-76.14297395,43.06324019,1000,40,2
615 Onondaga St W To South Av,-76.15978357,43.03862189,1000,85,2
615-17 Salina St N,-76.15315925,43.05945254,1000,80,2
616-18 Richmond Ave,-76.17738505,43.05049682,1000,143,2
617 Catherine St,-76.14582016,43.05708621,1000,70,2
619 Otisco St,-76.167474,43.044389,1000,40,2
619-21 Tompkins St,-76.18910384,43.04496061,1000,40,2
622 Darlington Rd,-76.1376138,43.07962619,1000,90,2
625 Hixson Ave,-76.11988515,43.06055066,1000,40,2
626 Barnes Ave,-76.1597963,43.00548109,1000,54,2
628 Mertens Ave,-76.13236508,43.07101314,1000,40,2
629 Mertens Ave,-76.13242206,43.07156084,1000,45,2
634 Mertens Ave,-76.13215404,43.07102287,1000,40,2
634 Velasko Rd & Stolp Ave,-76.18658211,43.02985903,1000,40,2
637 Stinard Ave,-76.17374583,43.02674058,1000,40,2
649 Ballantyne Rd & Evaleen A,-76.15171078,43.00997386,1000,65,2
691 Allen St & Clarke St,-76.11641045,43.03916221,1000,40,2
700 Brighton Ave E & Glen Ave E,-76.13421735,43.0089396,1000,98,2
700 Oak St & Jasper St,-76.13600624,43.06244338,1000,65,2
700 Seeley Rd & Niven St,-76.10427993,43.04749356,1000,40,2
700 Spring St & Pond St,-76.15037111,43.06838924,1000,40,2
702 Kirkpatrick St,-76.15300414,43.06955099,1000,40,2
705-07 Dewitt St,-76.13491095,43.06872712,1000,58,2
707 Otisco St,-76.16889894,43.04393778,1000,40,2
707 Westmoreland Ave & Harvar,-76.11440692,43.0414365,1000,40,2
716 Darlington Rd,-76.13839884,43.08017569,1000,40,2
723-25 Salina St N To Lock Aly,-76.15416041,43.06072398,1000,80,2
724 Otisco St,-76.17014652,43.04422953,1000,40,2
725 Beech St S,-76.12039448,43.04101071,1000,40,2
725 Fellows Ave,-76.11478472,43.03184307,1000,40,2
736 Pond St & First North St,-76.14911697,43.06894508,1000,40,2
738 Allen St,-76.11708822,43.03779589,1000,40,2
741-43 South Ave To Hovey St,-76.15873604,43.0311127,1000,54,2
743 Allen St,-76.11635619,43.03771573,1000,40,2
745 Euclid Ave,-76.12170611,43.0369167,1000,54,2
764 Onondaga St W & Delaware,-76.16476544,43.03593844,1000,40,2
805 Carbon St,-76.15688759,43.0690324,1000,40,2
808 Park St,-76.14561359,43.06370609,1000,40,2
812 Wolf St & Pennsylvania Av,-76.15955469,43.07742046,1000,92,2
818-20 Danforth St & First North,-76.1540153,43.07093816,1000,95,2
825 Coughlin Ave,-76.10324589,43.07401981,1000,40,2
827-29 Dewitt St,-76.1350093,43.07021692,1000,52,2
835 Maryland Ave,-76.12015395,43.03564013,1000,64,2
835 Park St & John St,-76.14753035,43.06383429,1000,159,2
838 Ackerman Ave,-76.12500862,43.03527245,1000,40,2
839 Wilbur Ave S,-76.17462899,43.04066263,1000,40,2
853 Maryland Ave,-76.12009309,43.03497764,1000,40,2
901 Genesee St W,-76.16850252,43.05293144,1000,79,2
901-03 Dewitt St & Mertens Ave,-76.13508151,43.07129962,1000,40,2
901-17 Geddes St S & Delaware St,-76.17290622,43.03869447,1000,174,2
909-11 Highland St,-76.14244681,43.06466715,1000,40,2
910 Bellevue Ave,-76.16758484,43.03332204,1000,40,2
916 Highland St,-76.14165098,43.06486713,1000,40,2
920 Glencove Rd,-76.10289538,43.06395318,1000,40,2
921 Ballantyne Rd & Loomis Av,-76.1544076,43.00952066,1000,40,2
921 Dewitt St,-76.13511594,43.07182069,1000,40,2
922 Emerson Ave To Cooper Row,-76.19436747,43.0590791,1000,77,2
927 Lemoyne Ave & Penn Ave,-76.15849552,43.07714128,1000,40,2
948 Ackerman Ave,-76.12476737,43.03268399,1000,40,2
952 Brighton Ave E,-76.13048248,43.00293172,1000,69,2
400-04 Seneca Tnpk W & Valley Dr,-76.15381594,43.00232252,1002,264,2
124 Maurice Ave,-76.1604497,43.01269224,1003,25,2
541-45 Salina St N,-76.15269839,43.05846357,1005,202,2
110 Guilford Rd,-76.09592563,43.03698355,1015,55,2
211 Beattie St,-76.10740254,43.05055083,1017,121,2
526 Cadillac St,-76.14806918,43.08075525,1019,92,2
1225 Butternut St,-76.14409841,43.06773585,1025,168,2
3110 Grant Blvd,-76.16075303,43.07750593,1032,253,2
301-07 Fayette St W & Franklin S,-76.15612477,43.04843723,1047,871,2
1147-57 South Ave & Bissell St E,-76.15882847,43.02590849,1049,105,2
226 Rich St,-76.16195814,43.03377836,1049,65,2
115 Dale St,-76.14359274,43.07518794,1050,54,2
325-27 Richmond Ave,-76.17206854,43.04982757,1050,105,2
613 Velasko Rd,-76.18608345,43.03018529,1050,79,2
132 Roxbury Rd,-76.09879361,43.06615106,1057,40,2
2222 Burnet Ave & Midler Ave S,-76.10568084,43.0579026,1062,85,2
1434-42 Midland Ave & Colvin St W,-76.15169262,43.02431344,1067,114,2
419 Richmond Ave,-76.17424365,43.0499188,1075,79,2
127 Grant Blvd,-76.117136,43.06893506,1085,54,2
303-07 South Ave & Tallman St,-76.15891429,43.03599812,1095,217,2
182 Hastings Pl,-76.1183602,43.06490646,1099,65,2
214 Clairmonte Ave,-76.16998606,43.0310323,1099,92,2
319-25 Salina St N,-76.15279456,43.05535296,1099,210,2
109 Washington St W & Clinton S St,-76.153509,43.04968,1100,2862.5,2
111 Wolcott Terr,-76.18439,43.02591423,1100,54,2
121 Rockland Ave,-76.15664253,43.02370171,1100,126,2
123 John St,-76.14922644,43.06234265,1100,90,2
123 Paul Ave,-76.12000769,43.06804145,1100,55,2
127 Brace St,-76.15443072,43.07556372,1100,58,2
128 Bennington Dr,-76.1411375,43.01156388,1100,54,2
129 Bryant Ave,-76.17999551,43.04671756,1100,54,2
132 Lawrence St,-76.15176355,43.0697271,1100,54,2
1406-08 Bellevue Ave,-76.17909375,43.03294607,1100,87,2
1424 Lemoyne Ave & Merrill St,-76.15077,43.08169159,1100,54,2
144 Kuhl Ave,-76.14426211,43.07796338,1100,55,2
1442-44 Burnet Ave,-76.11800422,43.05510485,1100,64,2
160 Edwards Ave N,-76.10659204,43.0704989,1100,54,2
1626 Caleb Ave & Hasbrouck St,-76.09351819,43.06224717,1100,55,2
169 Hickok Ave,-76.113852,43.06624746,1100,52,2
169 Jasper St,-76.13904949,43.06242287,1100,54,2
1719 Burnet Ave To Stafford Av,-76.112302,43.05723,1100,89,2
179 Fiscoe Ave,-76.14731149,42.99240138,1100,54,2
187 Shotwell Pk,-76.11511491,43.06486258,1100,55,2
1910 Lodi St,-76.15289723,43.06317105,1100,108,2
203 Seward St,-76.14419017,43.05974798,1100,84,2
226-28 Rigi Ave,-76.10424898,43.0716654,1100,58,2
311 Wolcott Ave,-76.18277664,43.02932055,1100,55,2
316 Merritt Ave,-76.15896217,42.99910026,1100,54,2
318 Ostrander Ave W,-76.14920793,43.01410916,1100,65,2
3439 Burnet Ave,-76.089722,43.061695,1100,54,2
430 Douglas St,-76.13674899,43.06159564,1100,60,2
527-29 Court St,-76.15748531,43.07048496,1100,483,2
557 Seneca Tnpk W,-76.15784828,43.00243241,1100,55,2
573-75 Delaware St,-76.1723619,43.03832395,1100,65,2
621-23 Lemoyne Ave,-76.16145806,43.07345651,1100,65,2
628 Catherine St,-76.14529102,43.05783284,1100,65,2
713 Bear St,-76.15866736,43.07408312,1100,54,2
720 Crawford Ave,-76.1106001,43.03316713,1100,25,2
925-27 Ackerman Ave,-76.12408841,43.03337755,1100,54,2
Unit 2 1312-20 Butternut St & Third Ave,-76.14301216,43.06912373,1100,132,2
1159 Meadowbrook Dr,-76.1097344,43.03805408,1108,65,2
120-22 Dell St,-76.12050383,43.04158343,1109.88,83,2
650 Bear St W Rear,-76.17480791,43.0586323,1116,141,2
140 Oakwood Ave & Burt St,-76.14615333,43.03837765,1120,186,2
315 Craig St,-76.14678117,43.07068737,1120,55,2
621 Winton St,-76.12519415,43.05864841,1125,65,2
700 Danforth St & Carbon St,-76.15534961,43.06893116,1125,195,2
1316 Fayette St E,-76.1290028,43.04792743,1130,136,2
103-07 Green St & Catherine St,-76.14215708,43.0535909,1134,160,2
211-13 Grand Ave To Fenton St,-76.17482554,43.03908273,1139.05,82,2
149 Beattie St,-76.1065147,43.05160452,1146,119,2
412 Union Pl & Alvord St N,-76.15562512,43.06563938,1149,105,2
134 Loehr Ave,-76.18141619,43.03486605,1150,40,2
138 Palmer Ave,-76.16314202,43.03438355,1150,54,2
200-08 Boise Dr & Ruth Ave,-76.13131148,43.02384866,1150,92,2
2827-31 Salina St S,-76.14280745,43.02027833,1150,94,2
901-03 Park St & John St,-76.14787412,43.0639551,1150,102,2
2100 Fayette St E & Ellis St T,-76.11358833,43.04765896,1153,119,2
626 Butternut St,-76.14586809,43.06019497,1163,171,2
430 Washington St E To Landma,-76.14676646,43.04923988,1167,187,2
320 Hickok Ave,-76.11438876,43.06294789,1167.27,56,2
1201 Fayette St E & Walnut Ave,-76.13150626,43.04880843,1168,182,2
114-16 Arnts Pl,-76.15561648,43.07623505,1169,62,2
224 Palmer Ave,-76.16306455,43.03242565,1175,65,2
243-45 Webster Ave,-76.14556806,43.02315703,1175,146,2
309 Scottholm Terr,-76.11007517,43.03814166,1175,79,2
460 Ridgewood Dr,-76.09469923,43.06278209,1176,54,2
1215 Madison St,-76.1278909,43.04558804,1182.7,87,2
519 Wilbur Ave S,-76.17713041,43.04568258,1183,155,2
140 Newell St W,-76.14494289,43.0179192,1190,58,2
977 Brighton Ave E,-76.12923014,43.00237992,1197,135,2
1105 Salina St N,-76.15738377,43.06477083,1198,130,2
1320-26 Genesee St W & State Fair,-76.18047548,43.05282678,1199,93,2
1001 Brighton Ave E,-76.12807842,43.00151442,1200,105,2
1028-30 Teall Ave,-76.12245864,43.06090443,1200,83,2
104 Landon Ave,-76.15017402,43.02944916,1200,60,2
105 Kenwick Dr,-76.1357526,43.07311382,1200,56,2
106 Avery Ave,-76.18986653,43.04554126,1200,54,2
109 Steuben St,-76.15316188,43.06535297,1200,128,2
111 Craton St,-76.12422162,43.05697605,1200,54,2
111-13 Cody Ave,-76.1895008,43.04568004,1200,54,2
112 Gary Ave,-76.14306671,42.98542303,1200,54,2
113 Murray Ave,-76.15704741,43.07693701,1200,54,2
114 Lorraine Ave N,-76.13236115,43.02588703,1200,58,2
114 Warham St,-76.14388135,43.07147946,1200,54,2
115 Phelps Pl,-76.13844282,42.99885928,1200,54,2
117 Fitch St,-76.16774111,43.03516019,1200,54,2
118 Cayuga St,-76.18853226,43.05146836,1200,54,2
120 Wadsworth St,-76.13890856,43.06982918,1200,55,2
1201-03 Lancaster Ave,-76.12213828,43.02843403,1200,54,2
1209-11 Lancaster Ave,-76.1221168,43.02816144,1200,58,2
1216 Bellevue Ave,-76.17654427,43.03306584,1200,137,2
122 Feigel Ave,-76.12561778,43.07230907,1200,55,2
123 Alanson Rd,-76.17217801,43.02435199,1200,106,2
123 Steuben St,-76.15392012,43.06565731,1200,55,2
126 Rugby Rd,-76.12257478,43.06810878,1200,54,2
127 Coral Ave & Morey Ave,-76.15049427,43.00951679,1200,54,2
131 Hastings Pl,-76.11789591,43.06640338,1200,55,2
1319 Court St,-76.14901625,43.07735285,1200,55,2
132 Dawes Ave,-76.14455022,43.0089279,1200,54,2
1320 Madison St,-76.12473348,43.04497938,1200,54,2
137 Merritt Ave,-76.15482685,42.99873363,1200,54,2
141 Pleasant Ave W & Cannon S,-76.14532476,43.01657678,1200,94,2
152 Annetta St,-76.1650697,43.02220052,1200,79,2
152 Chatham Rd,-76.12539807,43.06611119,1200,54,2
156 Forest Hill Dr,-76.11198455,43.06684406,1200,54,2
168 Genesee Pk Dr,-76.11014403,43.04896477,1200,56,2
1702 Lodi St,-76.15072958,43.06192866,1200,55,2
1814 Court St,-76.14341202,43.079758,1200,55,2
185 Fiscoe Ave,-76.14749831,42.99239647,1200,80,2
186 Florence Ave W,-76.14721916,43.00711962,1200,56,2
201 Sunrise Dr & Thurlow Dr,-76.13793069,42.99613245,1200,54,2
202 Cadwell St,-76.17632354,43.03816559,1200,92,2
2027 Park St & Hiawatha Blvd E,-76.16793214,43.07155688,1200,170,2
204 Highridge Dr,-76.19950701,43.02739537,1200,56,2
207 Edwards Ave N,-76.10723354,43.07090755,1200,55,2
208-10 Delaware St & Holland St,-76.16644317,43.03627875,1200,55,2
208-12 Genesee St W,-76.15414436,43.0516338,1200,95,2
210 Lexington Ave,-76.12081712,43.04673037,1200,80,2
212 Cheltenham Rd E,-76.13985737,42.99500854,1200,56,2
2121-23 South Ave,-76.16297488,43.01649529,1200,77,2
217 Erie St,-76.19164793,43.05203099,1200,58,2
226 Beattie St,-76.1090486,43.04983422,1200,60,2
228 Wheaton Rd,-76.12630979,43.07009596,1200,58,2
229 Genesee Pk Dr,-76.10931544,43.04737667,1200,62,2
231 Champlin Dr,-76.1013906,43.05995077,1200,54,2
232 Marguerite Ave & Bishop A,-76.15825288,43.02016695,1200,70,2
233-37 Ostrander Ave W,-76.146372,43.013855,1200,54,2
240 Hopper Rd,-76.16034997,42.99893993,1200,54,2
2423 Genesee St E,-76.11415329,43.04537423,1200,55,2
269 Cloveridge Dr,-76.09291582,43.06492871,1200,54,2
312 Seeley Rd,-76.10453601,43.05063632,1200,54,2
317 Douglas St,-76.14077823,43.06016715,1200,54,2
324 Wellesley Rd,-76.16976825,43.01792661,1200,54,2
332 Cloveridge Dr,-76.09355396,43.06361736,1200,74,2
332 Wellesley Rd,-76.16977697,43.01733761,1200,54,2
334 Miles Ave,-76.11668626,43.03085054,1200,54,2
335 Douglas St,-76.14028784,43.06040425,1200,55,2
346 Ashdale Ave,-76.1088803,43.0748126,1200,54,2
354 Pleasantview Ave,-76.1344312,43.07632708,1200,54,2
372 Matson Ave W,-76.15336633,43.01301767,1200,69,2
407 Butternut St & Townsend P,-76.1499888,43.0589438,1200,159,2
415 Sedgwick Dr & Rugby Rd,-76.13358619,43.06667433,1200,55,2
418 Hawley Ave,-76.13830202,43.05288917,1200,58,2
419 Lillian Ave,-76.11161056,43.07385034,1200,64,2
423 Euclid Ave & Sumner Ave,-76.12626511,43.03667483,1200,119,2
429 Ridgewood Dr,-76.09409792,43.06370173,1200,58,2
444 Wilkinson St,-76.17001391,43.05121586,1200,129,2
518 Audubon Pkwy,-76.09591562,43.05023213,1200,55,2
611 Dakin St,-76.10951501,43.05089233,1200,54,2
622 Mertens Ave,-76.13257613,43.07100341,1200,55,2
721 Meadowbrook Dr & Westmore,-76.1143202,43.03176268,1200,55,2
733-35 Euclid Ave,-76.12218938,43.03689281,1200,25,2
803 Avery Ave,-76.19556618,43.05240837,1200,54,2
803 Willis Ave,-76.19354549,43.05324272,1200,54,2
808 Meadowbrook Dr,-76.11337357,43.03147048,1200,54,2
835 Onondaga St W,-76.16597982,43.034599,1200,91,2
918 Dewitt St,-76.13430428,43.07182505,1200,55,2
Unit 6 311 Midler Ave N,-76.10634669,43.0740321,1200,60,2
333 Onondaga St E Condo Six,-76.148569,43.047415,1212,159,2
308-10 Franklin St S,-76.15607116,43.04831313,1219,233.25,2
131 Griffiths St & John St,-76.14481592,43.0683208,1225,115,2
159 Calthrop Ave W,-76.1438454,43.0157989,1225,79,2
260 Cloveridge Dr,-76.09367262,43.06511315,1225,55,2
123 Ball Cir,-76.13306985,43.01297308,1229,149,2
700 Jamesville Ave,-76.13223818,43.01933629,1240,249,2
2002 Court St,-76.14192629,43.08057878,1246,123,2
107 Holden St,-76.18100078,43.03764798,1250,145,2
117 Oak St,-76.1338056,43.05318,1250,98,2
119 Maplehurst Ave,-76.13789634,43.07817762,1250,80,2
138 Berkshire Ave,-76.14126585,43.07540797,1250,55,2
1415 Spring St & Lemoyne Ave,-76.16130351,43.07224919,1250,62,2
201-1 1/2 Kirk Ave & Landon Ave,-76.14973542,43.02877418,1250,55,2
2827 Genesee St E,-76.10662646,43.04317264,1250,58,2
433-35 Tompkins St & Burnet Pk D,-76.18554035,43.04638366,1250,176,2
608 Wolf St,-76.16151281,43.07470222,1250,54,2
822-24 Kirkpatrick St,-76.15139973,43.07164784,1250,50,2
125 Bungalow Terr & Vieau Dr,-76.18527,43.03069546,1252,65,2
113 Raynor Ave E & Montgomery,-76.14915244,43.03560432,1253,184,2
113 Wilmore Pl,-76.13899891,43.0816833,1275,54,2
144 Seneca Tnpk E,-76.14130611,43.00016569,1275,54,2
163 Lincoln Ave,-76.1572018,43.03734757,1275,99,2
217 Milford Dr E,-76.09616826,43.06676318,1275,55,2
102 Smith St & Springfield Rd,-76.09070735,43.05140313,1280,55,2
212 Scottholm Terr,-76.11261793,43.0410244,1285,66,2
415 Washington St E,-76.14719583,43.04963159,1294.55,67,2
2533-35 James St,-76.11129846,43.06883671,1299,87,2
1010 Carbon St,-76.15979502,43.07089354,1300,58,2
106 Eastman Ave,-76.1569951,43.021951,1300,68,2
1128 Park St,-76.15110271,43.06583387,1300,55,2
114 Cadillac St,-76.151948,43.07736456,1300,54,2
114-22 Headson Dr,-76.08604554,43.05464233,1300,95,2
121 First North St & John St,-76.14499692,43.06724518,1300,54,2
121 Temple Pl,-76.16047665,43.02380359,1300,121,2
124 Kappesser St,-76.1445436,43.06938497,1300,68,2
1305 Butternut St,-76.1439921,43.06863315,1300,54,2
134 Harding St,-76.13915513,43.0786415,1300,68,2
136 Corning Ave W,-76.14408852,43.01879032,1300,68,2
137 Thurlow Dr,-76.13680181,42.99578617,1300,54,2
138 Anderson Ave,-76.14468239,43.00809438,1300,68,2
147 Redfield Pl,-76.12172268,43.03779035,1300,56,2
151 Marvin Rd & Barnes Ave,-76.16061997,43.01132963,1300,68,2
153 Pierce St & Ballantyne Rd,-76.1488392,43.01057655,1300,54,2
201 Caleb Ave & Hickok Ave,-76.11319767,43.05888643,1300,55,2
210 Arnold Ave,-76.12640352,43.01849972,1300,55,2
212 Cloveridge Dr,-76.09377698,43.06642863,1300,29,2
212 Rich St,-76.16198852,43.0345463,1300,68,2
2139 Geddes St S,-76.1746295,43.02284961,1300,54,2
214 Ballantyne Rd,-76.14610881,43.01073336,1300,68,2
215 Holland St,-76.16268322,43.038372,1300,101,2
217 Champlin Dr,-76.10171234,43.06017769,1300,56,2
221 Glenwood Ave,-76.16388116,43.01938508,1300,68,2
222 Grace St,-76.16838502,43.03743946,1300,68,2
233 Edwards Ave N,-76.10727783,43.07167531,1300,62,2
260 Stafford Ave,-76.1131112,43.06419004,1300,55,2
301 Prospect Ave To Union Ave,-76.149891,43.055634,1300,110,2
3013 Midland Ave,-76.1477936,43.01093285,1300,68,2
309 Academy Pl,-76.15132364,42.99330845,1300,54,2
316 Chemung St,-76.19778455,43.05708822,1300,80,2
318 Ashdale Ave,-76.10883516,43.07402152,1300,55,2
321 Hawley Ave,-76.14059182,43.05345149,1300,54,2
329 Elm St,-76.13115237,43.0535471,1300,60,2
401 Boyden St,-76.12210807,43.06137769,1300,68,2
411 Marcellus St,-76.16445017,43.04605153,1300,104,2
420 Cadillac St,-76.14913068,43.07997533,1300,54,2
426 Hickok Ave,-76.11416381,43.06058268,1300,106,2
502 Bryant Ave,-76.18784011,43.04425227,1300,68,2
505 Hillsboro Pkwy,-76.08548241,43.04038893,1300,55,2
528 Midler Ave S,-76.10498519,43.05899653,1300,54,2
539 Colvin St W To Hope Ave,-76.15233078,43.02348591,1300,55,2
628 Brighton Ave W,-76.15782678,43.0192905,1300,68,2
631 Park Ave,-76.16940192,43.05157844,1300,55,2
701 Darlington Rd,-76.13838962,43.07954707,1300,55,2
741-43 Ackerman Ave,-76.12442204,43.03701894,1300,58,2
800 Spring St,-76.1516245,43.06896979,1300,68,2
808-10 Wadsworth St,-76.13987998,43.07812472,1300,55,2
831 Sumner Ave,-76.12554335,43.03548629,1300,55,2
141-43 Hood Ave,-76.14438054,43.07352418,1306,100,2
107 Cornell Ave,-76.1687743,43.01191813,1314,55,2
501 Washington St E & Townsen,-76.14571545,43.04965094,1338,71,2
659 Onondaga St W,-76.16107663,43.03745858,1349,163,2
120 Franklin St S& Washington St W,-76.15631989,43.05001297,1350,92,2
147 Mosley Dr,-76.10113042,43.0676736,1350,104,2
412 Rich St,-76.16185677,43.03121506,1350,81,2
311 Fayette St W,-76.15626175,43.04841919,1351.11,276,2
222 Merrill St Rear,-76.15118181,43.08309369,1360,133,2
406-08 Kirkpatrick St,-76.15546253,43.06623123,1361,108,2
134 Cortland Pl,-76.15234754,43.0029428,1363.52,55,2
1423 Butternut St,-76.1433798,43.07203312,1375,174,2
707 Helen St,-76.13619465,43.07135041,1375,56,2
1681 James St,-76.12355919,43.06512909,1380,52,2
910-12 Salina St N,-76.1553693,43.06346624,1383,87,2
412 Darlington Rd,-76.13656542,43.07767299,1384,64,2
100 Sheridan Pl & Burnet Ave,-76.10232449,43.05925392,1390,55,2
231 Lakeview Ave,-76.17949502,43.05071862,1390,52,2
2404-06 Burnet Ave To Nichols Ave,-76.10303497,43.05839,1390,79,2
253 Bruce St,-76.11172403,43.04896105,1391,55,2
356 Midler Ave N,-76.105358,43.075756,1392,157,2
135 Water St E & Warren St S,-76.15136886,43.0506325,1395,798,2
1013 Lodi St,-76.1438751,43.05760031,1400,58,2
1025 Erie Blvd W & Magnolia St,-76.17470639,43.04726246,1400,0,2
1111 Glencove Rd S,-76.09860263,43.06423659,1400,41,2
115 Academy Pl,-76.15164441,42.99703435,1400,54,2
116 Austin Ave,-76.18896096,43.02992875,1400,56,2
122-24 Loehr Ave,-76.18093576,43.03482498,1400,54,2
123 Geddes St N,-76.17203983,43.0492701,1400,97,2
125-31 Water St E To Erie Blvd E,-76.15159069,43.05063524,1400,745,2
1412 Westmoreland Ave,-76.11421883,43.02662599,1400,55,2
148 Tejah Ave,-76.12423171,43.01505548,1400,74,2
150 Hampton Rd,-76.12383311,43.0664383,1400,52,2
154-56 Midler Ave N,-76.10542382,43.07050258,1400,94,2
157 Hope Ave,-76.15185768,43.02244021,1400,55,2
159-61 Nichols Ave,-76.10373546,43.06716027,1400,66,2
1907 Court St,-76.14309449,43.08062438,1400,79,2
201 Townsend St N & Burnet Av,-76.14615962,43.05236723,1400,105,2
203 Kenwick Dr,-76.13590641,43.07506673,1400,54,2
228 Buckingham Ave,-76.12202704,43.03121057,1400,90,2
234 Greenwood Pl,-76.12334614,43.04110454,1400,54,2
240 Ashdale Ave,-76.10870889,43.07182793,1400,80,2
243-49 Water St E To Erie Blvd E,-76.1501566,43.05061964,1400,221,2
249 Crescent Ave,-76.1617688,43.02858867,1400,58,2
305 Merritt Ave,-76.15819662,42.99848679,1400,54,2
311 Kellogg St,-76.16619252,43.03700329,1400,95,2
320 Warner Ave,-76.14791365,43.02236852,1400,54,2
324 Hillsdale Ave,-76.10904885,43.06310008,1400,54,2
406 Avery Ave,-76.19203877,43.049045,1400,80,2
422 Roosevelt Ave,-76.11794597,43.03111971,1400,144,2
500 Hillsdale Ave & Caleb Ave,-76.1086882,43.05893032,1400,55,2
504 Beattie St,-76.10880764,43.04723684,1400,54,2
564 Brighton Ave E,-76.13532499,43.01134529,1400,142,2
604 Glenwood Ave,-76.16980584,43.0199315,1400,86,2
607 Crawford Ave,-76.10975372,43.03470297,1400,62,2
706 Colvin St E,-76.13671786,43.02594088,1400,55,2
716 South Ave,-76.15947338,43.03102985,1400,68,2
835-37 Salina St N,-76.15546554,43.06228085,1400,95,2
955 Meadowbrook Dr,-76.11206737,43.03421303,1400,68,2
1400-20 Salina St S & Martin Luther W,-76.14944859,43.03249961,1407,218,2
1121 Milton Ave & Willis Ave,-76.19609302,43.05818997,1410,163,2
110 Riverdale Dr & Kramer Dr,-76.15626343,43.00149366,1415,194,2
204 Avery Ave,-76.19062215,43.04665005,1419,55,2
300 Hillsdale Ave & Glencove,-76.10910838,43.06375714,1425,55,2
307 Apple St,-76.17712234,43.05085298,1425,83,2
