Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
SANS (Spay and Neuter Syracuse),31150000700000090230010000,31150000700000090230010000,1108 Spring Street,,Syracuse,Onondaga,NY,13208,"Hours and days change monthly, call for informationAnimals can be dropped off between 8 AM - 9 AM and are typically discharged the same day",,,,,,,,,,,,,,,315-834-0141,,,www.spayandneutersyracuse.org/,,"Provides low cost spay and neuter for homeless animals and pets belonging to people of low income. All surgeries include exam, vaccines, flea treatment, ear cleaning, and nail trim.<br /><br />============================<br />Low Cost Neuter, Low-Cost Neuter, Low-Cost Spay, Pet Spaying, Pet Neutering",Onondaga County,,"Non-profit shelters, rescue groups, caretakers of feral cats, full time students, active duty military, retired veterans, and low income individuals who meet eligibility requirements (Medicaid, SSI, HEAP, or other public assistance)",,501(c)(3),Nonprofit - Unincorporated,,Limited accessibility; call for details,Cats: $70-$95; Dogs: $105-$165 depending on breed/size and sex,Appointment required; call for information,Information and medical release form for pet,Neuter/Spay Services;,NY - Onondaga County;,-76.15578777,43.07081661
Rescue Mission,31150009600000030010010000,31150009600000030010010000,155 Gifford Street,,Syracuse,Onondaga,NY,13202,"Administrative hours: Monday - Friday, 8:30 AM - 4:30 PMDay Center hours: Daily, 7 AM - 4:45 PMEmergency Shelter hours: Daily, 5 PM - 7 AM",315-472-6251,Administrative,315-701-3814,Day Center 7 AM - 5 PM,315-701-3103,Men's Shelter 5 PM - 7 AM,315-472-2324 x5225 or x5226,Women's Shelter 5 PM - 7 AM,,,315-476-3615,,,,,,info@rmsyr.org,www.rescuemissionalliance.org/,"Private, Nonprofit","Provides three meals daily, case management, housing programs, employment resources, thrifty shops, mental health providers, job training programs, and spiritual counseling.",Onondaga County,,Onondaga County residents,,501(c)(3),Nonprofit - Unincorporated,"Gifts, grants, client fees, sale of donated items",Fully Accessible,None,,,Volunteer Opportunities;,NY - Onondaga County;,-76.15537187,43.04323842
Southside Academy Charter School,31150007300000010040020000,31150007300000010040020000,2200 Onondaga Creek Boulevard,,Syracuse,Onondaga,NY,13207,"Monday - Friday, 8:15 AM - 3:45 PM",,,,,,,,,,,315-410-5540,,,,315-476-3019,,info@nhaschools.com,www.southsidecharterschool.org/,,"Provides a grade system of learning in a public, tuition-free, charter school setting from grades Kindergarten through 8th.<br /><br />==================================<br />South Side Academy Charter School",Onondaga County,,Children in Kindergarten through 8th grades residing in New York State,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,None,"Call, go online, or walk-in to apply","Proof of residency, original birth certificate, immunization records, dental health certificate",Charter Schools;,NY - Onondaga County;,-76.15491623,43.01217113
United States Department of Labor - Wage and Hour Division,31150010400000220010020000,31150010400000220010020000,100 South Clinton Street,"Federal Building, Room 1373",Syracuse,Onondaga,NY,13261,"Monday - Friday, 8 AM - 3 PM",,,,,,,,,,,315-470-4500,,,,315-470-4500,,,www.dol.gov/whd,Public-Federal,"Enforces minimum wage, overtime, youth employment and record keeping regulations, as well as family leave regulations. Enforces housing, transportation and wage regulations for migrant workers. Enforces prevailing wage rates on federal service and construction contracts.","Jefferson, Lewis, Onondaga, Oswego and Saint Lawrence counties",,,,None or unknown,Government - Federal,US Government,Fully Accessible,,,,,NY - Jefferson County; NY - Lewis County; NY - Onondaga County; NY - Oswego County; NY - Saint Lawrence County;,-76.15490398,43.05000779
United States Senate 24th Congressional District,31150010400000220010020000,31150010400000220010020000,100 South Clinton Street,Federal Building,Syracuse,Onondaga,NY,13261,"Monday - Friday, 9 AM - 5 PM",202-224-3121,U.S. Capitol Switchboard,315-448-0470,Senator Kirsten Gillibrand,315-423-5471,Senator Charles Schumer,,,,,,,,,,,,www.senate.gov/,Public-Federal,The offices of elected members of the United States Senate for the 24th Congressional District.,"Cayuga, Onondaga, Wayne, and western Oswego counties",,Anyone living within the 24th Congressional District,,None or unknown,Government - State,Federal Government,Fully Accessible,None,Call or go online for information and services,None,United States Senate Offices;,NY - Wayne County; NY - Oswego County; NY - Onondaga County; NY - Cayuga County;,-76.15490398,43.05000779
United States Social Security Administration (SSA),31150010400000220010020000,31150010400000220010020000,100 South Clinton Street,"Federal Building, 4th Floor",Syracuse,Onondaga,NY,13261,"Monday, Tuesday, Thursday, and Friday, 9 AM - 4 PM; Wednesday, 9 AM - 12 NoonToll Free assistance: Monday - Friday, 7 AM - 7 PM at 1-800-772-1213",800-269-0271,Fraud Reporting,,,,,,,,,,800-325-0778,800-772-1213,,,,,www.socialsecurity.gov,Public-Federal,"Administers Title II Old-Age, Survivors and Disability Insurance (Social Security) Programs, Title XVIII Health Insurance Program (Medicare) for the aged and disabled, and Title XVI Supplemental Security Income (SSI) for the needy aged, blind, or disabled.",United States,,,,None or unknown,Government - Federal,Federal government,Fully Accessible,,,,,United States;,-76.15490398,43.05000779
American Heart / Stroke Association Greater Syracuse Region,31150010400000220010020000,31150010400000220010020000,2 Clinton Square,Suite 305,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",315-728-7540,Syracuse Region Information & Education,800-242-8721,National Toll Free,,,,,,,,,,,,,fdainquiries@heart.org,www.heart.org/HEARTORG/Affiliate/Syracuse/NewYork/Home_UCM_FDA114_AffiliatePage.jsp,nonprofit,"<p> Offers a wide array of resources and information on topics related to heart disease and stroke. Materials and information availableonline for various groups on a wide range of topics related to heart disease and stroke.<br /> <br /> ==================================<br /> American Heart Association, American Stroke Association, American Heart Association / American Stroke Association Greater Syracuse Region</p>","Cayuga, Cortland, Jefferson, Onondaga, Oswego, and Saint Lawrence counties",,"Individuals in Cayuga, Cortland, Jefferson, Onondaga, Oswego, and Saint Lawrence counties",,501(c)(3),Nonprofit - Incorporated,Donations,Fully Accessible,None,Individuals interested in literature should call 800-242-8721 or visit www.heart.org to have information sent to them directly; no literature is available at the local office on a walk-in basis,None,Volunteer Opportunities; Speakers/Speakers Bureaus; Printed Materials; Information and Referral; Information and Referral; Subject Specific Public Awareness/Education; Printed Materials; Speakers/Speakers Bureaus; Subject Specific Public Awareness/Education;,NY - Cayuga County; NY - Cortland County; NY - Oswego County; NY - Onondaga County;,-76.15490398,43.05000779
Franciscan Northside Ministries,31150000800000020050000000,31150000800000020050000000,800 North Salina Street,,Syracuse,Onondaga,NY,13208,"Health Services: Monday and Wednesday, 5 PM - 7 PMLegal Assistance: Tuesday, 2 PM - 4 PM; Thursday, 6 PM - 8 PM",,,,,,,,,,,315-423-0001,,,,315-423-9961,,,http://assumptionchurchsyracuse.org/index.php?page=northside-ministries,"Private, Nonprofit",Offers a clinic that provides health care services for needy individuals and a legal referral clinic.,Northside of Syracuse,,,,501(c)(3),Faith-based,Grants and Donations,Fully Accessible,,,,,NY - Onondaga County - Syracuse;,-76.15426676,43.06190649
"Ronald Heilmann, LCSW-R, LMFT",31150006500100010050000000,31150006500100010050000000,1940 Valley Drive,,Syracuse,Onondaga,NY,13207,By appointment; call for information,,,,,,,,,,,,,,,315-492-1082,,,www.syracusemediation.com,,"<p> Provides mental health counseling to individuals 12 years and older as well as divorce and family mediation services.<br /> <br /> =======================<br /> Therapist, Counselor, LMFT, Marriage and Family Therapist, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, Divorce Mediation</p>",Onondaga County,,Individuals ages 12 years and older,LMFT - NY 06 000352 (04/18) LMSW-R - NY 73 019377 (04/18),Commercial,Private Practice,,Not wheelchair accessible,"Is an out-of-network provider, clients will have to submit paperwork to their insurance company for reimbursement; call for additional fee and payment details",Appointment required; call for information,Call for details,Sexual Assault Counseling; Substance Use Disorder Counseling; Family Counseling; Individual Counseling; Divorce Counseling; Marriage Counseling; Anger Management; Stress Management; Bereavement Counseling; Cultural Transition Counseling; Employment Transition Counseling; Gender Identity Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Suicide Counseling; Terminal Illness Counseling; Mediation; Adolescent/Youth Counseling; Geriatric Counseling; Conjoint Counseling; Rational Emotive Therapy; Psychodynamic Therapy; Cognitive Behavioral Therapy; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Multisystemic Therapy; Premarital Counseling; Sexual/Love Addiction Counseling; Counseling for Children Affected by Domestic Violence; Spouse/Intimate Partner Abuse Counseling; Eclectic Therapy; Private Counseling / Therapy;,NY - Onondaga County;,-76.15378186,42.99631686
Assumption Church Food Pantry and Soup Kitchen,31150000800000020020000000,31150000800000020020000000,808 North Salina Street,,Syracuse,Onondaga,NY,13208,"Soup Kitchen: Monday - Friday, 11 AM - 1 PM and 4 PM - 5 PM; Saturday and Sunday, 11 AM - 1 PMFood Pantry: Monday - Friday, 9:30 AM - 12:30 PM",,,,,,,,,,,315-422-4363,,,,315-473-9101,,missionadvancement@assumptionchurchsyracuse.org,www.assumptionchurchsyracuse.org/index.php?page=franciscan-ministries,,<p> Provides food once a month and free meals daily to individuals in need.</p>,Onondaga County,,Onondaga County residents,,Registered charity,Faith-based,,Fully Accessible,None,Varies by program,,,NY - Onondaga County;,-76.15372504,43.06234022
Centro / Central New York Regional Transportation Authority,31150009400000220010010000,31150009400000220010010000,200 Cortland Avenue,,Syracuse,Onondaga,NY,13205,"Administrative hours: Monday - Friday, 8 AM - 5 PMService hours vary; call or go online for details",,,,,,,,,,,315-442-3337,,,,315-442-3333,,cnyrta@centro.org,www.centro.org,nonprofit,"<p> Provides public and para-transit bus transportation.<br /> <br /> ====================<br /> CNYRTA, CNY Regional Transportation Authority</p>","Cayuga, Oneida, Onondaga, and Oswego counties",,"Individuals within Cayuga, Oneida, Onondaga, and Oswego counties",,Commercial,Commercial,"Federal, State, and Local Funds",Not applicable; services provided off-site,,,,,NY - Onondaga County; NY - Oswego County; NY - Cayuga County; NY - Oneida County;,-76.15326074,43.03524825
Onondaga County Medical Society,31150001700000010010000000,31150001700000010010000000,329 North Salina Street,Suite 303,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,315-424-0614,,,,315-424-8118,,oncms@oncms.org,www.oncms.org,"Private, Nonprofit","No medical questions can be answered or advice given here; it is just a referral service. A caller gets 3 names of doctors in Onondaga County who are accepting patients and are in the appropriate medical field. No information about insurance, office hours or malpractice background available and no guarantee of an appointment. The educational background, location of office and specialties of the doctor are available.<br /><br />Online search of the directory is available on the website.<br /><br />===============================<br />Onondaga Medical Society",Onondaga County,,Directory includes licensed physicians practicing in Onondaga County; anyone can access the service,,501(c)(3),Membership,Membership dues,Fully accessible,None,,,Physician Referrals;,NY - Onondaga County;,-76.15318299,43.05609129
Syracuse Behavioral Healthcare,31150001700000010010000000,31150001700000010010000000,329 North Salina Street,Suite 200,Syracuse,Onondaga,NY,13203,Monday - Friday from 8:30 AM - 4:30 PM,,,,,,,,,,,315-474-1554,,,315-471-0568,315-474-5506,,,www.sbh.org,"Private, Nonprofit",<p> Provides a wide range of drug and alcohol rehabilitation services to individuals in the community. </p>,"Jefferson, Lewis, Monroe, Onondaga, Oswego, and Saint Lawrence as well as other surrounding counties",,,OASAS licensed,501(c)(3),Nonprofit - Incorporated,Private and public,Fully Accessible,,,,,NY - Jefferson County; NY - Lewis County; NY - Onondaga County; NY - Oswego County; NY - Saint Lawrence County; NY - Monroe County;,-76.15318299,43.05609129
United Healthcare,31150010100000050100000000,31150010100000050100000000,342 South Salina Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 4:30 PM",315-802-4057,Enrollment Center,315-433-5856,Community Plan Contact (Andrea Nagle),315-382-7657,Medicare Contact (Liz Taggart),,,,,,,,,,,,www.uhccommunityplan.com,,"Offers quality, affordable health insurance coverage to New York state residents of any age. Offers Health Insurance application assistance where representatives are available to help individuals and families navigate the application process.<br /><br />===================<br />Health Insurance Enrollment, Health Insurance Navigation",Onondaga County and surrounding areas,,Call to determine eligibility for health insurance coverage; no restrictions for application assistance,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,"No fees for application assistance; Fees for coverage vary by insurance plan and eligibility, call for details",Call or walk-in for services and information,None,State Health Insurance Marketplace Call Centers/Websites; State/Local Health Insurance Information/Counseling; State/Local Health Insurance Programs;,NY;,-76.15298546,43.0476499
"Adrienne Allen, MD",31150009600000070020000000,31150009600000070020000000,614 South Salina Street,2nd Floor Suite,Syracuse,Onondaga,NY,13202,"Thursday, 3 PM - 6 PM, Friday, 1:30 PM - 5 PM; by appointment",,,,,,,,,,,315-422-1506,,,,315-396-2224,,,,,"Provides mental health counseling and medication management to individuals ages 5 through 17 years old.<br /><br />=========================<br />Therapist, Counselor, Psychiatrist, MD",Onondaga County,,Individuals ages 5 through 17 years old,NY 60 212896 (02/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Physician / professional referrals required; may not be currently taking new clients,Picture ID and proof of insurance,Adolescent/Youth Counseling; Child and Adolescent Psychiatry; General Psychiatry; Private Counseling / Therapy; Psychiatric Medication Services;,NY - Onondaga County;,-76.15234441,43.04219132
"Saundra Barnett-Reyes, MD",31150009600000070020000000,31150009600000070020000000,614 South Salina Street,,Syracuse,Onondaga,NY,13202,"Tuesday - Saturday, by appointment; call for availability",,,,,,,,,,,315-422-1506,,,,315-422-2700,,,,,"Provides mental health counseling and medication management to individuals ages 18 years and older.<br /><br />==================================<br />Counselor, Therapist, Psychiatrist, MD, Saundra Barnett - Reyes, Saundra Reyes",Onondaga and Oswego counties,,Individuals ages 18 years and older,NY 60 136069 (02/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance; call for additional information,Individual Counseling; Perinatal/Postpartum Depression Counseling; Geriatric Counseling; Adult Psychiatry; Geriatric Psychiatry; Clinical Psychiatric Evaluation; Psychiatric Disorder Counseling; Psychiatric Medication Services; Psychological Assessment; Private Counseling / Therapy; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; General Psychiatry;,NY - Onondaga County; NY - Oswego County;,-76.15234441,43.04219132
Center for Community Alternatives (CCA),31150010100000060020010000,31150010100000060020010000,115 East Jefferson,Suite 300,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 12 Noon",,,,,,,,,,,315-471-4924,,,,315-422-5638,,cca@communityalternatives.org,www.communityalternatives.org,"Private, Nonprofit","Provides programs for court-involved adults, young people, and at-risk youth and advocates for responsive juvenile and criminal justice policies.",Onondaga County,,,,501(c)(3),Nonprofit - Unincorporated,"Donations, Federal Funding, United Way",Fully Accessible,,,,,NY - Onondaga County;,-76.15215333,43.04737915
New York State Department of Health Central New York Regional Office,31150010400000260010000000,31150010400000260010000000,217 South Salina Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:45 PM",888-201-4563,Nursing Home Complaints,315-477-8592,Administrative,,,,,,,,,,,315-477-8100,,,www.health.ny.gov,Public-State,"Works with county health departments, continuing care facilities, health care providers and community partnerships to ensure appropriate access to quality health care and health-related services. Responsible for overseeing the quality, scope, and availability of patient care services. Conducts surveillance, provides technical assistance to control diseases, provides education and training to providers, responds to public health emergencies, investigates complaints, and facilitates health care and public health preparedness planning.","Broome, Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, St. Lawrence, Tioga, and Tompkins counties",,"Residents of Broome, Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, St. Lawrence, Tioga, and Tompkins counties",,None or unknown,Government - State,State and federal funds,Fully Accessible,None,Call for services,Call for required documentation,Health Facility Complaints; Health Facility Licensing; Public Health Surveillance Programs;,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Lewis County; NY - Jefferson County; NY - Broome County; NY - Cayuga County; NY - Chenango County; NY - Cortland County; NY - Herkimer County; NY - Madison County; NY - Oneida Coun,-76.15214211,43.04882604
"PEACE, Inc",31150010400000260010000000,31150010400000260010000000,217 South Salina Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-472-8939,,,,315-470-3300,,info@peace-caa.org,www.peace-caa.org,"Private, Nonprofit","Helps individuals in the community realize their potential to become self-sufficient by providing a variety of programs to families and individuals.<br /><br />=============================================<br />P.E.A.C.E., Inc, People's Equal Action & Community Efforts, Inc",Onondaga County,,,,501(c)(3),Nonprofit - Incorporated,"Department of Health and Human Services, Federal Funds, State and Local Governments",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.15214211,43.04882604
Empire Interpreting Service,31150010400000250020000000,31150010400000250020000000,220 South Warren Street,Suite 1001,Syracuse,Onondaga,NY,13202,"Monday - Friday, 7 AM - 5 PM",,,,,,,,,,,315-472-8032,,844-620-8594,,315-472-1383,,info@empireinterpreting.com,www.empireinterpreting.com/,,Provides professional sign language and spoken language interpreters for a variety of settings. Offers telephonic interpreting and professional document translation services.,New York State,,Individuals needing interpretation or translation,Certified WBENC,Commercial,Commercial,,Fully Accessible,Call for fee information,Call or go online for information and services,None,Interpretation/Translation Associations; Language Interpretation; Language Translation; Plain Language Translation; Sign Language Interpretation;,NY;,-76.15152347,43.04888301
"Judith Falk, LCSW-R",31150000600000100010110000,31150000600000100010110000,1118 Court Street,Suite 12,Syracuse,Onondaga,NY,13208,By appointment; call for information,,,,,,,,,,,315-634-7022,,,,315-440-6558,,,,,"Provides mental health counseling to individuals ages 15 years and older.<br /><br />==========================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, Judith A. Falk, Judth A Falk",Onondaga and Oswego counties,,Individuals ages 15 years and older,,Commercial,Private Practice,,,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Stress Management; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Employment Transition Counseling; Marriage Counseling; Parent Counseling; Veteran Reintegration Counseling; Adolescent/Youth Counseling; Geriatric Counseling; Individual Counseling; Spiritual/Religious Issues Counseling; Home Based Mental Health Services; Cognitive Behavioral Therapy; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.1514965,43.0749042
Belle Grove Missionary Baptist Emergency Food Pantry,31150008500000040070010000,31150008500000040070010000,219 West Castle Street,,Syracuse,Onondaga,NY,13205,Hours are flexible; call for information,315-466-9838,"Shenorah McMillian, Food Pantry Contact",315-476-7391,Belle Grove Missionary Baptist,,,,,,,,,,,,,,www.bellegrovevictoriouslifeministries.com,,"<p> Acquires dry and canned goods through donation and hands out food on an emergency basis only. Receives and distributes household items, baby items and clothing, and personal toiletries. Clients must call ahead to make arrangements.</p>",Onondaga County,,Onondaga County residents in need of food due to an emergency situation,,501(c)(3),Faith-based,,Fully Accessible,None,"Call one or two days in advance to make arrangements; 315-466-9838 (Shenorah McMillian, Coordinator) or 315-476-7391 (Belle Grove Missionary Baptist)","Picture ID, proof of all members of the household",Food Pantries; Baby Clothing; Bedding/Linen; Cleaning Products; Kitchenware; Personal/Grooming Supplies;,NY - Onondaga County;,-76.15084257,43.03288362
City of Syracuse Department of Neighborhood and Business Development,31150010300000290010000000,31150010300000290010000000,201 East Washington Street,"City Hall Commons, 6th Floor",Syracuse,Onondaga,NY,13202,"Monday - Friday, 8 AM - 5 PM",,,,,,,,,,,315-448-8036,,,,315-448-8100,,,www.syracuse.ny.us/Neighborhood_and_Business_Development.aspx,Public-City,"<p> This department represents the merging of the former departments of Community Development and Economic Development. This new arrangement will ensure revitalization efforts that target the commercial corridors and business districts are aligned with the vision for the neighborhoods that surround them.<br /> <br /> =====================<br /> Syracuse City Department of Neighborhood and Business Development, Syracuse City Department of Neighborhood & Business Development</p>",City of Syracuse,,Individuals within the City of Syracuse,,None or unknown,Government - City,"Municipal, US, HUD, NYS",Full Wheelchair Access; Designated Parking; Elevators;,None,Call for information and services,None,,NY - Onondaga County - Syracuse;,-76.15083429,43.04967997
Frank Hiscock Legal Aid Society,31150010200000010100000000,31150010200000010100000000,351 South Warren Street,3rd Floor,Syracuse,Onondaga,NY,13202,"Administrative hours: Monday - Friday, 8 AM - 4:30 PM;Open interview hours: Monday, 9:30 AM - 11 AM, Tuesday, Wednesday, and Thursday, 2 PM - 4 PM No uncontested divorce intakes on Wednesdays",,,315-218-0158,Systems Administrator,,,,,,,315-472-2819,,,,315-422-8191,,mail@hiscocklegalaid.org,www.hiscocklegalaid.org,"Private, Nonprofit",<p> Provides legal advice and/or representation for low-income residents of Onondaga County.</p>,Onondaga County,,Low-income residents of Onondaga County,,501(c)(3),Nonprofit - Incorporated,"United Way of CNY, Onondaga County, Onondaga County Bar Association, Interest on Lawyer's Account Fund, City of Syracuse, New York State, US Department of Justice",Full wheelchair access,None,Walk-in during interview hours for civil cases; all other cases by appointment,Call for required documentation,Volunteer Opportunities;,NY - Onondaga County;,-76.15080282,43.04733395
Legal Aid Society of Mid-New York (LASMNY),31150010300000280020000000,31150010300000280020000000,"221 South Warren Street, 3rd Floor",Suite 310,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-424-4911,,,,315-703-6600,,,www.lasmny.org/,,"Provides free legal information, advice, and representation to people who can't afford a lawyer and need assistance with civil (non-criminal) legal problems.","Broome, Cayuga, Chenango, Cortland, Delaware, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and Otsego counties",,"Working people, families and people with disabilities, senior citizens, veterans and people who get public benefits; US Citizens, immigrants, refugees and temporary workers; Individuals who are age 60 and over, or are a victim of family violence, may qual",,501(c)(3),Nonprofit - Incorporated,,Call for information,None,Call or walk in for service and information,Call for information,Volunteer Opportunities; General Legal Aid;,NY - Jefferson County; NY - Lewis County; NY - Onondaga County; NY - Oswego County;,-76.15065425,43.04885867
Volunteer Lawyers Project of Onondaga County,31150010300000280020000000,31150010300000280020000000,"221 South Warren Street, Suite 320",,Syracuse,Onondaga,NY,13202,Service hours vary by program; call for details,,,,,,,,,,,,,,,315-471-3409,,scurran@onvlp.org,www.onvlp.org,,"Provides legal advice, information, and referrals to low-income individuals in Onondaga County on non-criminal legal matters. A lawyer referral service is available for individuals who can afford an attorney. Topics include divorce, eviction defense, family court issues, wills, estates, elder law issues, medical issues such as health care directives, immigration issues, LGBTQ legal issues, and non-profit advocacy.<br />",Onondaga County,,Low-income residents of Onondaga County,,501(c)(3),Nonprofit - Unincorporated,,Most locations fully accessible; call for details,None,Call for information,No documentation initially required,Volunteer Opportunities;,NY - Onondaga County;,-76.15065425,43.04885867
Legal Services of Central New York,31150010300000280020000000,31150010300000280020000000,472 South Salina Street,Suite 300,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-475-2706,315-475-3120,866-475-9967,877-777-6152,315-703-6500,,lscnyinfo@lscny.org,www.lscny.org/,"Private, Nonprofit","<p> Provides general civil legal services to financially eligible clients, AIDS Law Project, Cancer Legal and Support Project. Provides representation for people with developmental, psychiatric and/ or physical disabilities.<br /> <br /> =======================<br /> Legal Services of CNY</p>",Onondaga County and surrounding areas,,Financially eligible clients of Onondaga and Oswego counties,,501(c)(3),Nonprofit - Incorporated,"NYS Interest on Lawyer Trust Account Fund, NYS AIDS Institute, NYS Commission on Quality of Care, NYS Office of Court Administration, NYS Department of Health, NYS Attorney General's Office, NYS Division of Criminal Justice Services, NYS OTDA, Court -awar",Elevators; Full Wheelchair Access; Ramps; TDD;,Varies by program,Varies by program,Varies by program,,NY - Oswego County; NY - Onondaga County; NY - Cayuga County; NY - Cortland County; NY - Madison County;,-76.15065425,43.04885867
Easter Seals New York (ESNY),31150010300000170080000000,31150010300000170080000000,109 South Warren Street,Suite 311,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,,,,,315-760-5800,,,www.easterseals.com/newyork/our-programs/military-veteran-services/,,Provides a comprehensive employment program designed to meet the specific needs of veterans entering or re-entering the civilian workforce.,Onondaga County,,Veterans entering or re-entering the civilian workforce,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.15056942,43.05014462
Salvation Army of Onondaga County,31150009500000090060000000,31150009500000090060000000,677 South Salina Street,2nd Floor,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 5 PM",315-479-1349,Homeless Resource Services,315-479-1157,Emergency Basic Needs,315-479-1321,Development Office,315-475-1688,Administrative Line,315-475-6307,Administrative Fax,,,,,,,,http://syracuseny.salvationarmy.org/,"Private, Nonprofit",<p> A multi-program nonprofit agency that provides services and support for people in need.<br /> <br /> ==============================<br /> The Salvation Army of Syracuse</p>,Onondaga County,,Onondaga County residents,,501(c)(3),Nonprofit - Unincorporated,"Donations, federal funding, United Way, planned giving",Limited Accessibility; call for details,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.15053602,43.0408633
Plymouth Church Food Pantry,31150010200000130010000000,31150010200000130010000000,232 East Onondaga Street,,Syracuse,Onondaga,NY,13202,"Thursday, 10 AM - 12 Noon",,,,,,,,,,,,,,,315-474-4836,,pcc-office@cnymail.com,plymouthuccsyracuse.org,,Provides a weekly distribution of food from the pantry to individuals in need once per month.<br /><br />==============================<br />Plymouth Church Pantry,Immediate neighborhood; Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,501(c)(3),Faith-based,,Fully Accessible,None,Call or walk-in,Picture ID and proof of address,Food Pantries;,NY - Onondaga County - Syracuse - 13202;,-76.15041603,43.04565284
Francis House,31150000600000100010020000,31150000600000100010020000,108 Michaels Avenue,,Syracuse,Onondaga,NY,13208,24 Hours / 7 Days,,,,,,,,,,,315-472-3161,,,,315-475-5422,,,www.francishouseny.org,"Private, Nonprofit",<p> Offers a home and extended family to people with terminal illnesses where they can die with dignity.</p>,Onondaga County,,Individuals with a terminal illness with a prognosis of 6 months or less of life expectancy and an illness progressing at a steady rate,,501(c)(3),Nonprofit - Incorporated,"Individual and Corporate Donations, Grants",Fully Accessible,Varies; call for information,Call or go online for information and services,No documentation initially required,Hospice Facilities; Volunteer Opportunities; Gift Card Donation Programs;,NY - Onondaga County;,-76.15035385,43.07532003
Cathedral of the Immaculate Conception,31150010200000140010000000,31150010200000140010000000,259 East Onondaga Street,,Syracuse,Onondaga,NY,13202,Hours vary by program,,,,,,,,,,,315-478-4619,,,,315-422-4177,,cathedraldesk@twcny.rr.com,www.cathedralsyracuse.org/,,Provides a variety of services to the community including a medical clinic and food pantry.,Onondaga County,,Onondaga County residents,,501(c)(3),Faith-based,,Fully Accessible,,,,,NY - Onondaga County;,-76.15019453,43.04663336
